"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "XML", "TypeScript JSX", "Ignore", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 12, 121
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 11, 82
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 14, 144
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 15, 108
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 572, 0, 0, 0, 12, 54, 638
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 9, 50
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\hypnotized\projects\Void-chat\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\hypnotized\projects\Void-chat\src\hooks\use-chat.ts", "TypeScript", 0, 0, 653, 0, 0, 0, 0, 0, 0, 0, 0, 19, 86, 758
"c:\Users\hypnotized\projects\Void-chat\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\hypnotized\projects\Void-chat\src\hooks\use-screenshot-detect.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 43
"c:\Users\hypnotized\projects\Void-chat\src\hooks\use-tick.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\hypnotized\projects\Void-chat\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 13, 46, 303
"c:\Users\hypnotized\projects\Void-chat\src\integrations\supabase\client.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Users\hypnotized\projects\Void-chat\src\integrations\supabase\types.ts", "TypeScript", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 272
"c:\Users\hypnotized\projects\Void-chat\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\hypnotized\projects\Void-chat\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\hypnotized\projects\Void-chat\src\pages\Changelog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 18, 195
"c:\Users\hypnotized\projects\Void-chat\src\pages\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\Users\hypnotized\projects\Void-chat\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 10, 141
"c:\Users\hypnotized\projects\Void-chat\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\hypnotized\projects\Void-chat\src\test\example.test.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\hypnotized\projects\Void-chat\src\test\setup.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\hypnotized\projects\Void-chat\src\types\chat.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 45
"c:\Users\hypnotized\projects\Void-chat\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\fetch-commits\index.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 120
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\gif-search\index.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\og-metadata\index.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 82
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\purge-expired-images\index.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 47
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\room-password\index.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 119
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\summarize-changelog\index.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 110
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\summarize-features\index.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 117
"c:\Users\hypnotized\projects\Void-chat\supabase\functions\verify-admin\index.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260303005729_3f7d751c-0090-4030-a7fe-d696dba81ecb.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 3, 18
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260304001353_98dc9aac-aa34-4814-8147-16082811c36f.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260306022135_e8d74c86-e0f1-4376-bf0c-4499d4a3df0b.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308050547_fd534030-ccf9-48ab-a23a-e9034f766665.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308180324_7d4bd5a7-a649-4fb6-b1b0-3c8dfd559a00.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308181002_b2c91bd1-0bf5-486b-9e31-10779008aa0a.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308181924_58d8be64-2879-466c-87f3-52971bd97c2c.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308182200_7eefa726-9135-4894-a31a-cc14557c6772.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308182343_32db28e1-9d0e-49e9-95da-473f655a870b.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308182629_6e88190f-9971-4efe-aeb7-cd1af21d1f5d.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308192833_c5fc6c77-f1cf-4f28-9bce-a0913b23d3d5.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\hypnotized\projects\Void-chat\supabase\migrations\20260308233457_0290dd1c-d4a9-4df2-b73d-e334d1c9ad19.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
